First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage,sex_weight,sex,verified_sex
Ashlee,Evans-Smith,68,125,67,6,4,0,10,0.6,unknown,female,female
Jessica,Eye,66,125,66,14,7,0,21,0.666666667,unknown,female,female
Zarah,Fairn,68,145,72,6,3,0,9,0.666666667,unknown,female,female
Sarah,Frota,66,125,69,9,2,0,11,0.818181818,unknown,female,female
Karine,Gevorgyan,64,125,63,3,3,0,6,0.5,unknown,female,female
Miranda,Granger,67,125,68,7,0,0,7,1,unknown,female,female
Barb,Honchak,64,125,65,10,5,0,15,0.666666667,unknown,female,female
Joanna,Jedrzejczyk,66,125,65,16,3,0,19,0.842105263,unknown,female,female
Nadia,Kassem,65,125,66,5,2,0,7,0.714285714,unknown,female,female
Julie,Kedzie,65,135,64,16,13,0,29,0.551724138,unknown,female,female
Yana,Kunitskaya,66,135,68,12,4,0,16,0.75,unknown,female,female
Lina,Lansberg,67,135,65,10,4,0,14,0.714285714,unknown,female,female
Jenel,Lausa,65,125,68,7,5,0,12,0.583333333,unknown,female,female
Amanda,Lemos,64,135,65,6,1,1,8,0.8125,unknown,female,female
Ariane,Lipski,63,125,67,11,5,0,16,0.6875,unknown,female,female
Jennifer,Maia,64,125,64,17,5,1,23,0.760869565,unknown,female,female
Christina,Marks,67,125,69,8,9,0,17,0.470588235,unknown,female,female
Sabina,Mazo,67,125,70,7,1,0,8,0.875,unknown,female,female
Sara,McMann,66,135,66,11,5,0,16,0.6875,unknown,female,female
Takeya,Mizugaki,67,135,68,21,11,2,34,0.647058824,unknown,female,female
Peggy,Morgan,73,135,70,2,1,0,3,0.666666667,unknown,female,female
Maryna,Moroz,67,125,67,9,3,0,12,0.75,unknown,female,female
Lauren,Mueller,65,125,67,5,3,0,8,0.625,unknown,female,female
Lauren,Murphy,65,125,67,11,4,0,15,0.733333333,unknown,female,female
Journey,Newson,65,135,67,9,2,0,11,0.818181818,unknown,female,male
Rachael,Ostovich,63,125,62,4,5,0,9,0.444444444,unknown,female,female
Julianna,Pena,66,135,69,10,3,0,13,0.769230769,unknown,female,female
Elizabeth,Phillips,66,135,65,5,4,0,9,0.555555556,unknown,female,female
Lucie,Pudilova,68,125,67,8,5,0,13,0.615384615,unknown,female,female
Gillian,Robertson,65,125,63,7,4,0,11,0.636363636,unknown,female,female
Karol,Rosa,65,135,67,12,3,0,15,0.8,unknown,female,female
Taila,Santos,65,125,68,15,1,0,16,0.9375,unknown,female,female
Valentina,Shevchenko,65,125,66,18,3,0,21,0.857142857,unknown,female,female
Leslie,Smith,69,135,66,10,7,1,18,0.583333333,unknown,female,female
Miesha,Tate,66,135,65,18,7,0,25,0.72,unknown,female,female
