First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage,sex_weight,sex,verified_sex
Poliana,Botelho,68,115,67,8,2,0,10,0.8,female,unknown,female
Heather Jo,Clark,66,115,64,7,6,0,13,0.538461538,female,unknown,female
Seohee,Ham,62,115,62,16,8,0,24,0.666666667,female,unknown,female
Chanmi,Jeon,65,115,67,5,2,0,7,0.714285714,female,unknown,female
Syuri,Kondo,64,115,66,6,3,0,9,0.666666667,female,unknown,female
Livinha,Souza,63,115,63,13,2,0,15,0.866666667,female,unknown,female
Polyana,Viana,65,115,67,10,4,0,14,0.714285714,female,unknown,female
Xiaonan,Yan,65,115,63,11,1,0,12,0.916666667,female,unknown,female
Weili,Zhang,64,115,63,20,1,0,21,0.952380952,female,unknown,female
Papy,Abedi,71,185,74,9,3,0,12,0.75,male,unknown,male
Klidson,Abreu,72,205,74,15,3,0,18,0.833333333,male,unknown,male
Rostem,Akman,70,170,72,6,2,0,8,0.75,male,unknown,male
Mostapha,Al-Turk,74,245,77,6,6,0,12,0.5,male,unknown,male
Herdem,Alacabek,74,205,75,5,1,0,6,0.833333333,male,unknown,male
Ildemar,Alcantara,74,185,78,21,8,0,29,0.724137931,male,unknown,male
Warlley,Alves,71,170,72,14,3,0,17,0.823529412,male,unknown,male
Adlan,Amagov,74,170,76,13,2,1,16,0.84375,male,unknown,male
Viscardi,Andrade,71,170,75,19,7,0,26,0.730769231,male,unknown,male
Magomed,Ankalaev,75,205,75,11,1,0,12,0.916666667,male,unknown,male
Gadzhimurad,Antigulov,71,205,70,20,6,0,26,0.769230769,male,unknown,male
Zu,Anyanwu,73,251,77,14,5,0,19,0.736842105,male,unknown,male
Shinsho,Anzai,67,170,70,10,3,0,13,0.769230769,male,unknown,male
Akbarh,Arreola,70,155,71,23,10,1,34,0.691176471,male,unknown,male
Jessin,Ayari,72,155,73,16,5,0,21,0.761904762,male,unknown,male
Ottman,Azaitar,68,155,71,12,0,0,12,1,male,unknown,male
Siyar,Bahadurzada,71,170,73,24,8,1,33,0.742424242,male,unknown,male
Oluwale,Bamgbose,71,185,78,6,4,0,10,0.6,male,unknown,male
Tae Hyun,Bang,69,155,71,18,10,0,28,0.642857143,male,unknown,male
Marc-Andre,Barriault,73,185,74,11,3,0,14,0.785714286,male,unknown,male
Francimar,Barroso,73,205,75,19,7,0,26,0.730769231,male,unknown,male
Galore,Bofando,71,170,72,5,3,0,8,0.625,male,unknown,male
CM,Punk,73,170,73,0,2,0,2,0,male,unknown,male
Nah-Shon,Burrell,71,170,73,9,3,0,12,0.75,male,unknown,male
Gesias,Cavalcante,68,155,71,16,5,1,22,0.75,male,unknown,male
Yosdenis,Cedeno,68,155,69,10,5,1,16,0.65625,male,unknown,male
Jarjis,Danho,75,265,74,6,1,1,8,0.8125,male,unknown,male
Beneil,Dariush,70,155,72,16,4,1,21,0.785714286,male,unknown,male
Yorgan,De Castro,72,250,74,6,0,0,6,1,male,unknown,male
Cyrille,Diabate,78,205,81,20,10,3,33,0.651515152,male,unknown,male
Hacran,Dias,68,155,69,23,6,1,30,0.783333333,male,unknown,male
CB,Dollaway,74,185,76,18,10,0,28,0.642857143,male,unknown,male
Abdul-Kerim,Edilov,74,205,78,17,4,0,21,0.80952381,male,unknown,male
Ramazan,Emeev,70,170,76,18,3,0,21,0.857142857,male,unknown,male
Fedor,Emelianenko,72,230,74,34,4,0,38,0.894736842,male,unknown,male
Glaico,Franca,72,155,77,14,5,0,19,0.736842105,male,unknown,male
Ciryl,Gane,76,245,81,4,0,0,4,1,male,unknown,male
Tebaris,Gordon,73,265,78,3,1,0,4,0.75,male,unknown,male
Vik,Grujic,71,170,73,7,6,0,13,0.538461538,male,unknown,male
Nandor,Guelmino,75,230,76,11,5,1,17,0.676470588,male,unknown,male
Nasrat,Haqparast,70,155,72,11,2,0,13,0.846153846,male,unknown,male
Hayder,Hassan,70,170,70,6,3,0,9,0.666666667,male,unknown,male
Jamahal,Hill,76,205,79,5,0,0,5,1,male,unknown,male
Kuniyoshi,Hironaka,70,168,70,19,8,0,27,0.703703704,male,unknown,male
Mizuto,Hirota,67,155,67,19,10,2,31,0.64516129,male,unknown,male
Khadis,Ibragimov,75,205,78,8,1,0,9,0.888888889,male,unknown,male
Zelim,Imadaev,72,170,76,8,1,0,9,0.888888889,male,unknown,male
Guto,Inocente,75,205,77,6,4,0,10,0.6,male,unknown,male
Rampage,Jackson,73,205,73,36,11,0,47,0.765957447,male,unknown,male
Kajan,Johnson,71,155,75,23,14,1,38,0.618421053,male,unknown,male
Da Un,Jung,76,205,78,12,2,0,14,0.857142857,male,unknown,male
Impa,Kasanganay,71,185,75,5,0,0,5,1,male,unknown,male
Rustam,Khabilov,68,155,73,23,4,0,27,0.851851852,male,unknown,male
Dong Hyun,Kim,74,170,76,22,4,1,27,0.833333333,male,unknown,male
Naoyuki,Kotani,68,155,66,33,13,7,53,0.688679245,male,unknown,male
Kiichi,Kunimoto,70,170,71,18,7,2,27,0.703703704,male,unknown,male
Valmir,Lazaro,72,155,73,13,4,0,17,0.764705882,male,unknown,male
Cung,Le,69,185,69,9,3,0,12,0.75,male,unknown,male
Jingliang,Li,72,170,71,17,5,0,22,0.772727273,male,unknown,male
Hyun Gyu,Lim,75,170,77,13,7,1,21,0.642857143,male,unknown,male
Dhiego,Lima,74,170,75,17,7,0,24,0.708333333,male,unknown,male
Dalcha,Lungiambula,68,205,76,10,1,0,11,0.909090909,male,unknown,male
Dong Hyun,Ma,71,155,70,16,10,3,29,0.603448276,male,unknown,male
Lyoto,Machida,73,185,74,24,8,0,32,0.75,male,unknown,male
Nazareno,Malegarie,68,155,70,28,5,0,33,0.848484848,male,unknown,male
Anthony Rocco,Martin,72,170,73,16,5,0,21,0.761904762,male,unknown,male
Don'Tale,Mayes,78,260,81,7,2,0,9,0.777777778,male,unknown,male
Tamdan,McCrory,76,185,78,14,5,0,19,0.736842105,male,unknown,male
Bojan,Mihajlovic,71,205,73,10,6,0,16,0.625,male,unknown,male
Stipe,Miocic,76,240,80,19,3,0,22,0.863636364,male,unknown,male
Hiromitsu,Miura,69,170,71,9,6,0,15,0.6,male,unknown,male
Gegard,Mousasi,74,185,76,42,6,2,50,0.86,male,unknown,male
Makhmud,Muradov,74,185,75,23,6,0,29,0.793103448,male,unknown,male
Magomed,Mustafaev,68,155,71,14,2,0,16,0.875,male,unknown,male
Kazuhiro,Nakamura,71,205,70,15,11,0,26,0.576923077,male,unknown,male
Nicolae,Negumereanu,72,205,78,9,1,0,10,0.9,male,unknown,male
Antonio Braga,Neto,75,185,77,9,3,0,12,0.75,male,unknown,male
Minotauro,Nogueira,75,240,77,34,10,1,45,0.766666667,male,unknown,male
Khabib,Nurmagomedov,70,155,70,28,0,0,28,1,male,unknown,male
Volkan,Oezdemir,74,205,75,16,4,0,20,0.8,male,unknown,male
Yushin,Okami,74,170,75,35,12,0,47,0.744680851,male,unknown,male
Rafaello,Oliveira,68,155,71,15,7,0,22,0.681818182,male,unknown,male
Ednaldo,Oliveira,77,205,79,13,2,1,16,0.84375,male,unknown,male
Chibwikem,Onyenegecha-Palmer,75,185,76,6,0,0,6,1,male,unknown,male
Teemu,Packalen,73,155,75,8,3,0,11,0.727272727,male,unknown,male
Soa,Palelei,76,265,81,22,5,0,27,0.814814815,male,unknown,male
Rousimar,Palhares,68,170,71,24,5,0,29,0.827586207,male,unknown,male
Jun Yong,Park,70,185,73,10,4,0,14,0.714285714,male,unknown,male
Hernani,Perpetuo,72,170,74,17,5,0,22,0.772727273,male,unknown,male
Vinc,Pichel,70,155,72,12,2,0,14,0.857142857,male,unknown,male
Vagner,Rocha,70,155,73,11,4,0,15,0.733333333,male,unknown,male
Carlos Eduardo,Rocha,70,170,70,9,2,0,11,0.818181818,male,unknown,male
Jairzinho,Rozenstruik,76,242,78,8,0,0,8,1,male,unknown,male
Saparbeg,Safarov,73,205,78,9,2,0,11,0.818181818,male,unknown,male
Tarec,Saffiedine,70,170,70,16,7,0,23,0.695652174,male,unknown,male
Ovince,Saint Preux,75,205,80,24,13,0,37,0.648648649,male,unknown,male
Gokhan,Saki,72,205,73,1,2,0,3,0.333333333,male,unknown,male
Muslim,Salikhov,71,170,70,15,2,0,17,0.882352941,male,unknown,male
Evangelista,Santos,70,170,76,18,15,0,33,0.545454545,male,unknown,male
Takenori,Sato,70,170,71,17,10,7,34,0.602941176,male,unknown,male
Edmen,Shahbazyan,74,185,74,10,0,0,10,1,male,unknown,male
Wanderlei,Silva,71,205,74,35,12,1,48,0.739583333,male,unknown,male
Dmitrii,Smoliakov,74,253,74,9,3,0,12,0.75,male,unknown,male
Rameau Thierry,Sokoudjou,70,205,78,12,10,0,22,0.545454545,male,unknown,male
Chael,Sonnen,73,205,74,29,14,1,44,0.670454545,male,unknown,male
Punahele,Soriano,71,185,72,5,0,0,5,1,male,unknown,male
Jacare,Souza,73,185,72,26,7,0,33,0.787878788,male,unknown,male
Serghei,Spivac,75,260,78,10,1,0,11,0.909090909,male,unknown,male
Mairbek,Taisumov,69,155,73,27,6,0,33,0.818181818,male,unknown,male
Nordine,Taleb,73,170,74,15,7,0,22,0.681818182,male,unknown,male
Oli,Thompson,73,242,75,9,4,0,13,0.692307692,male,unknown,male
Gleison,Tibau,70,155,71,40,14,0,54,0.740740741,male,unknown,male
Dusko,Todorovic,73,185,74,8,0,0,8,1,male,unknown,male
Gasan,Umalatov,71,170,71,15,5,1,21,0.738095238,male,unknown,male
Caol,Uno,67,155,70,26,15,5,46,0.619565217,male,unknown,male
Kamaru,Usman,72,170,76,15,1,0,16,0.9375,male,unknown,male
Kazula,Vargas,68,155,71,10,3,0,13,0.769230769,male,unknown,male
Bojan,Velickovic,72,170,76,15,6,1,22,0.704545455,male,unknown,male
Khama,Worthy,71,155,74,15,6,0,21,0.714285714,male,unknown,male
Dongi,Yang,70,185,71,13,3,0,16,0.8125,male,unknown,male
Hu,Yaozong,75,205,72,3,2,0,5,0.6,male,unknown,male
Elizeu,Zaleski dos Santos,71,170,73,21,6,0,27,0.777777778,male,unknown,male
Tiequan,Zhang,68,155,70,18,4,0,22,0.818181818,male,unknown,male
Zhang,Lipeng,71,155,71,9,9,1,19,0.5,male,unknown,male
Alex,Chambers,63,115,63,5,5,0,10,0.5,female,male,female
Shamil,Abdurakhimov,75,235,76,20,5,0,25,0.8,male,male,male
Daichi,Abe,71,170,71,6,2,0,8,0.75,male,male,male
Ricardo,Abreu,71,185,73,5,3,0,8,0.625,male,male,male
Juan,Adams,77,265,80,5,2,0,7,0.714285714,male,male,male
Anthony,Adams,72,185,77,7,1,0,8,0.875,male,male,male
Israel,Adesanya,76,185,80,18,0,0,18,1,male,male,male
Omari,Akhmedov,72,185,73,19,4,1,24,0.8125,male,male,male
Yoshihiro,Akiyama,70,170,73,14,6,0,20,0.7,male,male,male
Junior,Albini,75,264,74,14,6,0,20,0.7,male,male,male
Hector,Aldana,71,170,72,4,4,0,8,0.5,male,male,male
John,Alessio,70,155,72,34,16,0,50,0.68,male,male,male
Houston,Alexander,72,205,72,13,8,1,22,0.613636364,male,male,male
Marcio,Alexandre Junior,72,185,75,17,4,0,21,0.80952381,male,male,male
Sultan,Aliev,71,170,74,15,3,0,18,0.833333333,male,male,male
John,Allan,75,205,75,13,5,0,18,0.722222222,male,male,male
Brendan,Allen,74,185,75,13,3,0,16,0.8125,male,male,male
Benny,Alloway,71,170,75,13,6,0,19,0.684210526,male,male,male
Ricardo,Almeida,72,170,74,13,5,0,18,0.722222222,male,male,male
Eddie,Alvarez,69,155,69,29,6,0,35,0.828571429,male,male,male
Joel,Alvarez,75,155,77,16,2,0,18,0.888888889,male,male,male
Thiago,Alves,69,170,70,28,14,0,42,0.666666667,male,male,male
Sam,Alvey,74,205,75,33,13,0,46,0.717391304,male,male,male
Alen,Amedovski,70,185,74,8,2,0,10,0.8,male,male,male
Eryk,Anders,73,205,75,13,4,0,17,0.764705882,male,male,male
Corey,Anderson,75,205,79,13,4,0,17,0.764705882,male,male,male
Dylan,Andrews,73,185,73,18,8,0,26,0.692307692,male,male,male
Josh,Appelt,70,255,73,15,6,0,21,0.714285714,male,male,male
Igor,Araujo,73,170,77,25,8,0,33,0.757575758,male,male,male
Andrei,Arlovski,75,240,77,28,18,0,46,0.608695652,male,male,male
Matt,Arroyo,70,170,72,3,3,0,6,0.5,male,male,male
Antonio,Arroyo,75,185,73,8,2,0,10,0.8,male,male,male
Cesar,Arzamendia,71,155,71,7,4,0,11,0.636363636,male,male,male
Teddy,Ash,73,185,73,14,4,0,18,0.777777778,male,male,male
Cyril,Asker,72,247,74,9,4,0,13,0.692307692,male,male,male
Scott,Askham,75,185,75,14,4,0,18,0.777777778,male,male,male
Ben,Askren,71,170,73,19,1,0,20,0.95,male,male,male
Rich,Attonito,70,170,72,10,5,0,15,0.666666667,male,male,male
Olivier,Aubin-Mercier,69,155,70,12,5,0,17,0.705882353,male,male,male
Marcus,Aurelio,70,155,74,21,10,0,31,0.677419355,male,male,male
Blas,Avena,72,170,74,7,6,0,13,0.538461538,male,male,male
Abu,Azaitar,69,185,76,14,1,1,16,0.90625,male,male,male
Seth,Baczynski,75,170,74,18,11,0,29,0.620689655,male,male,male
Ryan,Bader,74,205,74,23,5,0,28,0.821428571,male,male,male
Miguel,Baeza,74,170,74,8,0,0,8,1,male,male,male
Mehdi,Baghdad,73,155,75,11,4,0,15,0.733333333,male,male,male
Shamar,Bailey,69,155,75,12,5,0,17,0.705882353,male,male,male
Marcin,Bandel,70,155,70,13,4,0,17,0.764705882,male,male,male
Bryan,Barberena,72,170,72,14,7,0,21,0.666666667,male,male,male
Edson,Barboza,71,155,75,20,8,0,28,0.714285714,male,male,male
Luke,Barnatt,78,185,77,8,3,0,11,0.727272727,male,male,male
Josh,Barnett,75,250,78,35,8,0,43,0.813953488,male,male,male
Phil,Baroni,69,170,72,14,15,0,29,0.482758621,male,male,male
Peter,Barrett,70,155,73,8,2,0,10,0.8,male,male,male
Pat,Barry,71,235,74,8,7,0,15,0.533333333,male,male,male
Alan,Belcher,74,185,73,17,7,0,24,0.708333333,male,male,male
Vitor,Belfort,72,185,74,26,14,0,40,0.65,male,male,male
Danilo,Belluardo,72,155,74,12,5,0,17,0.705882353,male,male,male
Joey,Beltran,73,185,75,15,9,0,24,0.625,male,male,male
Lance,Benoist,71,170,73,7,2,0,9,0.777777778,male,male,male
Kenneth,Bergh,74,205,76,6,0,0,6,1,male,male,male
Keith,Berish,72,205,73,5,1,0,6,0.833333333,male,male,male
Dennis,Bermudez,66,155,66,18,9,0,27,0.666666667,male,male,male
Arjan,Bhullar,73,245,75,9,1,0,10,0.9,male,male,male
David,Bielkheden,70,155,71,16,9,0,25,0.64,male,male,male
Chris,Birchler,75,205,79,7,3,0,10,0.7,male,male,male
Michael,Bisping,73,185,75,31,9,0,40,0.775,male,male,male
Brad,Blackburn,70,170,73,18,13,1,32,0.578125,male,male,male
Curtis,Blaydes,76,265,80,12,2,0,14,0.857142857,male,male,male
Mark,Bocek,68,155,75,12,5,0,17,0.705882353,male,male,male
James,Bochnovic,76,205,81,8,3,0,11,0.727272727,male,male,male
Tim,Boetsch,72,185,74,21,13,0,34,0.617647059,male,male,male
Stephan,Bonnar,76,205,78,17,8,0,25,0.68,male,male,male
Tanner,Boser,74,255,75,17,5,1,23,0.760869565,male,male,male
Steve,Bosse,71,205,72,12,2,0,14,0.857142857,male,male,male
Roger,Bowling,69,155,68,11,5,0,16,0.6875,male,male,male
Kyle,Bradley,69,155,71,15,8,0,23,0.652173913,male,male,male
Sean,Brady,70,170,72,11,0,0,11,1,male,male,male
Ramiz,Brahimaj,70,170,73,8,2,0,10,0.8,male,male,male
David,Branch,73,185,78,22,6,0,28,0.785714286,male,male,male
Tom,Breese,75,185,73,11,1,0,12,0.916666667,male,male,male
Charlie,Brenneman,70,155,72,19,8,0,27,0.703703704,male,male,male
Marcos,Brigagao,75,205,76,11,1,0,12,0.916666667,male,male,male
Jason,Brilz,71,205,71,18,5,1,24,0.770833333,male,male,male
Antwain,Britt,73,205,77,11,5,0,16,0.6875,male,male,male
Will,Brooks,70,155,72,18,4,0,22,0.818181818,male,male,male
Rob,Broughton,74,265,74,15,7,1,23,0.673913043,male,male,male
Matt,Brown,72,170,75,23,16,0,39,0.58974359,male,male,male
Randy,Brown,75,170,78,11,3,0,14,0.785714286,male,male,male
Damien,Brown,70,155,68,17,12,0,29,0.586206897,male,male,male
Travis,Browne,78,255,79,18,7,1,26,0.711538462,male,male,male
Derek,Brunson,73,185,77,20,7,0,27,0.740740741,male,male,male
Dennis,Bryant,72,205,72,5,1,0,6,0.833333333,male,male,male
Justin,Buchholz,72,155,73,12,6,0,18,0.666666667,male,male,male
Paul,Buentello,74,245,77,29,14,0,43,0.674418605,male,male,male
Joshua,Burkman,70,170,72,29,17,0,46,0.630434783,male,male,male
Kevin,Burns,70,170,74,9,5,0,14,0.642857143,male,male,male
Gilbert,Burns,70,155,71,17,3,0,20,0.85,male,male,male
Bubba,Bush,72,185,73,8,3,0,11,0.727272727,male,male,male
Charles,Byrd,70,185,73,10,6,0,16,0.625,male,male,male
Yan,Cabral,71,155,73,12,3,0,15,0.8,male,male,male
Frank,Camacho,70,170,73,22,7,0,29,0.75862069,male,male,male
Fabricio,Camoes,70,155,73,14,9,1,24,0.604166667,male,male,male
Chris,Camozzi,74,185,76,24,13,0,37,0.648648649,male,male,male
Brian,Camozzi,74,170,78,7,5,0,12,0.583333333,male,male,male
Shane,Campbell,72,155,71,12,6,0,18,0.666666667,male,male,male
Luiz,Cane,74,185,77,12,5,0,17,0.705882353,male,male,male
Jared,Cannonier,71,185,77,13,4,0,17,0.764705882,male,male,male
Steve,Cantwell,74,185,75,7,6,0,13,0.538461538,male,male,male
Antonio,Carlos Junior,74,185,79,11,4,0,15,0.733333333,male,male,male
Francis,Carmont,75,205,78,23,10,0,33,0.696969697,male,male,male
Roan,Carneiro,71,170,74,21,11,0,32,0.65625,male,male,male
Cain,Carrizosa,68,155,74,6,2,0,8,0.75,male,male,male
Shane,Carwin,74,265,80,12,2,0,14,0.857142857,male,male,male
Johnny,Case,70,155,72,22,6,0,28,0.785714286,male,male,male
Kevin,Casey,71,185,77,9,5,1,15,0.633333333,male,male,male
Danny,Castillo,69,155,71,17,10,0,27,0.62962963,male,male,male
Nick,Catone,72,185,72,10,4,0,14,0.714285714,male,male,male
Rafael,Feijao,73,205,73,12,7,0,19,0.631578947,male,male,male
Magnus,Cedenblad,77,185,79,14,5,0,19,0.736842105,male,male,male
Adam,Cella,74,170,78,4,2,0,6,0.666666667,male,male,male
Donald,Cerrone,73,155,73,36,13,0,49,0.734693878,male,male,male
Luan,Chagas,72,170,75,15,3,1,19,0.815789474,male,male,male
Michael,Chiesa,73,170,75,16,4,0,20,0.8,male,male,male
John,Cholish,71,155,72,8,3,0,11,0.727272727,male,male,male
Ryo,Chonan,69,170,70,20,12,0,32,0.625,male,male,male
Joachim,Christensen,75,205,76,14,6,0,20,0.7,male,male,male
Anthony,Christodoulou,69,155,72,12,6,0,18,0.666666667,male,male,male
Devin,Clark,72,205,75,10,4,0,14,0.714285714,male,male,male
Mitch,Clarke,70,155,73,11,5,0,16,0.6875,male,male,male
Rich,Clementi,69,155,72,40,20,1,61,0.663934426,male,male,male
Chris,Clements,70,170,70,12,6,0,18,0.666666667,male,male,male
John,Cofer,69,155,73,7,4,0,11,0.636363636,male,male,male
Mark,Coleman,73,205,75,16,10,0,26,0.615384615,male,male,male
Jake,Collier,75,205,78,11,4,0,15,0.733333333,male,male,male
Christian,Colombo,77,265,80,8,3,1,12,0.708333333,male,male,male
Carlos,Condit,74,170,75,30,13,0,43,0.697674419,male,male,male
Tristan,Connelly,70,170,68,14,6,0,20,0.7,male,male,male
Chris,Cope,72,170,72,5,4,0,9,0.555555556,male,male,male
Josh,Copeland,73,265,75,9,2,0,11,0.818181818,male,male,male
Michael,Cora,73,170,77,4,1,0,5,0.8,male,male,male
Daniel,Cormier,71,235,72,22,2,0,24,0.916666667,male,male,male
Patrick,Cote,71,170,71,24,11,0,35,0.685714286,male,male,male
JC,Cottrell,69,155,71,17,5,0,22,0.772727273,male,male,male
Rashad,Coulter,71,205,76,9,4,0,13,0.692307692,male,male,male
Randy,Couture,73,205,75,19,11,0,30,0.633333333,male,male,male
Ryan,Couture,70,155,75,7,3,0,10,0.7,male,male,male
Colby,Covington,71,170,72,15,1,0,16,0.9375,male,male,male
Nathan,Coy,70,170,69,15,7,0,22,0.681818182,male,male,male
Andrew,Craig,73,170,76,9,4,0,13,0.692307692,male,male,male
Paul,Craig,75,205,76,12,4,0,16,0.75,male,male,male
Tim,Credeur,75,185,75,12,4,0,16,0.75,male,male,male
Allen,Crowder,75,245,76,10,4,0,14,0.714285714,male,male,male
Daron,Cruickshank,68,155,72,16,8,0,24,0.666666667,male,male,male
Jimmy,Crute,74,205,74,10,1,0,11,0.909090909,male,male,male
Zak,Cummings,72,185,75,23,7,0,30,0.766666667,male,male,male
Patrick,Cummins,74,205,76,10,7,0,17,0.588235294,male,male,male
Luke,Cummo,72,170,74,6,6,0,12,0.5,male,male,male
Alton,Cunningham,74,205,77,7,1,0,8,0.875,male,male,male
Ion,Cutelaba,73,205,75,15,4,0,19,0.789473684,male,male,male
Claudio,Silva,71,170,71,14,1,0,15,0.933333333,male,male,male
Henrique,da Silva,75,205,76,14,5,0,19,0.736842105,male,male,male
Alex,Da Silva,68,155,73,21,2,0,23,0.913043478,male,male,male
Nicolas,Dalby,71,170,74,18,3,1,22,0.840909091,male,male,male
Paul,Daley,69,170,76,31,11,2,44,0.727272727,male,male,male
Rodrigo,Damm,67,155,71,12,9,0,21,0.571428571,male,male,male
Mac,Danzig,68,155,70,22,12,1,35,0.642857143,male,male,male
Kyle,Daukaus,75,185,76,6,0,0,6,1,male,male,male
Marcus,Davis,70,170,70,20,9,0,29,0.689655172,male,male,male
Phil,Davis,74,205,79,13,3,0,16,0.8125,male,male,male
Mike,Davis,72,155,72,8,2,0,10,0.8,male,male,male
Jason,Day,72,185,72,19,12,0,31,0.612903226,male,male,male
Philip,De Fries,77,250,82,9,3,0,12,0.75,male,male,male
Chris,de la Rocha,75,250,80,5,3,0,8,0.625,male,male,male
Rodrigo,de Lima,67,155,75,8,3,1,12,0.708333333,male,male,male
Jorge,de Oliveira,68,155,71,7,2,0,9,0.777777778,male,male,male
Tom,DeBlass,72,185,75,7,2,0,9,0.777777778,male,male,male
Shane,del Rosario,76,250,79,11,2,0,13,0.846153846,male,male,male
Rolando,Delgado,75,155,77,11,5,1,17,0.676470588,male,male,male
Chris,Dempsey,70,185,72,11,4,0,15,0.733333333,male,male,male
Jason,Dent,70,155,71,21,12,0,33,0.636363636,male,male,male
Tony,DeSouza,72,170,70,10,4,0,14,0.714285714,male,male,male
Alessio,Di Chirico,72,185,74,12,4,0,16,0.75,male,male,male
Marc,Diakiese,70,155,73,14,3,0,17,0.823529412,male,male,male
Nick,Diaz,73,185,76,26,9,0,35,0.742857143,male,male,male
Nate,Diaz,72,170,76,21,11,0,32,0.65625,male,male,male
Drew,Dober,68,155,70,21,9,0,30,0.7,male,male,male
Joe,Doerksen,72,185,75,47,16,0,63,0.746031746,male,male,male
Cody,Donovan,75,205,74,8,5,0,13,0.615384615,male,male,male
Rafael,Dos Anjos,68,170,70,29,12,0,41,0.707317073,male,male,male
Junior,Dos Santos,76,238,77,21,6,0,27,0.777777778,male,male,male
Antonio,Dos Santos,70,185,72,6,3,0,9,0.666666667,male,male,male
Danny,Downes,72,155,72,8,3,0,11,0.727272727,male,male,male
Tomasz,Drwal,73,205,76,19,4,1,24,0.8125,male,male,male
Robert,Drysdale,75,205,78,6,0,0,6,1,male,male,male
Todd,Duffee,75,260,78,9,3,0,12,0.75,male,male,male
Joe,Duffy,70,155,73,16,4,0,20,0.8,male,male,male
Evan,Dunham,70,155,70,18,8,1,27,0.685185185,male,male,male
Luiz,Dutra,71,170,71,11,4,1,16,0.71875,male,male,male
Matt,Dwyer,76,170,76,8,4,0,12,0.666666667,male,male,male
Cody,East,75,245,74,12,3,0,15,0.8,male,male,male
Marvin,Eastman,69,185,73,17,14,1,32,0.546875,male,male,male
Brian,Ebersole,72,170,73,51,17,1,69,0.746376812,male,male,male
Yves,Edwards,69,155,73,42,22,1,65,0.653846154,male,male,male
Justin,Edwards,70,155,70,9,5,0,14,0.642857143,male,male,male
Leon,Edwards,74,170,74,18,3,0,21,0.857142857,male,male,male
Per,Eklund,70,155,72,14,5,1,20,0.725,male,male,male
Jake,Ellenberger,69,170,71,31,15,0,46,0.673913043,male,male,male
Joe,Ellenberger,69,155,72,15,2,0,17,0.882352941,male,male,male
Rob,Emerson,69,155,70,11,10,0,21,0.523809524,male,male,male
Oliver,Enkamp,72,170,77,7,2,0,9,0.777777778,male,male,male
Andy,Enz,75,185,78,8,3,0,11,0.727272727,male,male,male
Konstantin,Erokhin,71,230,73,9,3,0,12,0.75,male,male,male
Efrain,Escudero,69,155,70,25,11,0,36,0.694444444,male,male,male
Juan,Espino,76,250,82,10,1,0,11,0.909090909,male,male,male
Terry,Etim,73,155,73,15,5,0,20,0.75,male,male,male
Billy,Evangelista,68,155,68,11,2,0,13,0.846153846,male,male,male
Rashad,Evans,72,205,75,24,8,1,33,0.742424242,male,male,male
Bartosz,Fabinski,72,170,75,14,3,0,17,0.823529412,male,male,male
Rico,Farrington,76,170,79,7,2,0,9,0.777777778,male,male,male
Paul,Felder,71,155,70,17,4,0,21,0.80952381,male,male,male
Tony,Ferguson,71,155,76,26,3,0,29,0.896551724,male,male,male
Cezar,Ferreira,73,185,78,14,8,0,22,0.636363636,male,male,male
Diego,Ferreira,69,155,74,16,2,0,18,0.888888889,male,male,male
Drew,Fickett,70,155,70,41,16,0,57,0.719298246,male,male,male
Mirko,Cro Cop,74,230,73,31,11,2,44,0.727272727,male,male,male
Luigi,Fioravanti,68,170,70,22,11,0,33,0.666666667,male,male,male
Spencer,Fisher,67,155,70,25,9,0,34,0.735294118,male,male,male
Jon,Fitch,72,170,76,27,5,1,33,0.833333333,male,male,male
Rafael,Fiziev,68,155,71,6,1,0,7,0.857142857,male,male,male
Colin,Fletcher,74,155,78,9,3,0,12,0.75,male,male,male
Caros,Fodor,69,155,76,7,3,0,10,0.7,male,male,male
Jesse,Forbes,74,185,75,15,5,0,20,0.75,male,male,male
Marcel,Fortuna,73,205,74,9,3,0,12,0.75,male,male,male
Brian,Foster,69,170,71,18,5,0,23,0.782608696,male,male,male
Hermes,Franca,66,155,71,22,12,0,34,0.647058824,male,male,male
Rich,Franklin,73,185,75,29,7,0,36,0.805555556,male,male,male
Justin,Frazier,72,265,75,11,3,0,14,0.785714286,male,male,male
Matt,Frevola,69,155,71,8,1,1,10,0.85,male,male,male
Ricardo,Funch,70,170,76,8,4,0,12,0.666666667,male,male,male
Justin,Gaethje,71,155,70,21,2,0,23,0.913043478,male,male,male
Mickey,Gall,74,170,74,6,2,0,8,0.75,male,male,male
Tom,Gallicchio,70,170,73,19,11,0,30,0.633333333,male,male,male
Edgar,Garcia,70,170,71,14,5,0,19,0.736842105,male,male,male
Alex,Garcia,69,170,72,15,6,0,21,0.714285714,male,male,male
Kelvin,Gastelum,69,185,71,16,4,0,20,0.8,male,male,male
Christos,Giagos,70,155,71,17,8,0,25,0.68,male,male,male
Joe,Giannetti,72,155,74,7,1,0,8,0.875,male,male,male
Thomas,Gifford,73,155,75,17,9,0,26,0.653846154,male,male,male
Joe,Gigliotti,71,185,69,7,2,0,9,0.777777778,male,male,male
Trevin,Giles,72,185,74,11,2,0,13,0.846153846,male,male,male
Gregor,Gillespie,67,155,71,13,0,0,13,1,male,male,male
